SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Log
CHL-058,Maheshwara,,M,,,,,,,,,,,,,,,,Banswada,main road,,banswada,banswada,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.3818488,77.8758114
CHL-059,Gopi,,G,,,,,,,,,,,,,,,,Nizamabad,near bustand,,banswada,banswada,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-060,sharadha pharmacy,,SP,,,,,,,,,,,,,,,vasu,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-061,Medwin,,M,,,,,,,,,,,,,,,,Nizamabad,autonaagar,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-062,alshifa,,A,,,,,,,,,,,,,,,,Nizamabad,autonaagar,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-063,makkah,,M,,,,,,,,,,,,,,,,Nizamabad,autonaagar,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-064,dicent,,D,,,,,,,,,,,,,,,,Banswada,autonaagar,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.3818488,77.8758114
CHL-065,Manik,,M,,,,,,,,,,,,,,,,Banswada,behind bustand,,banswada,banswada,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.3818488,77.8758114
CHL-066,Laxmi,,L,,,,,,,,,,,,,,,,Banswada,main road,,banswada,banswada,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.3818488,77.8758114
CHL-067,Sharada,,S,,,,,,,,,,,,,,,,Banswada,OPP BUSTAND,,banswada,banswada,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.3818488,77.8758114
